sequence,record_type,poi_name,found_date,location_displayed,sender,screenshot_path,original_filename,sha256,byte_identical_occurrence_group,rating,recommendation,research_confidence,research_status,research_summary,confirmed_facts,inferences,unresolved_questions,source_urls,star_visible_in_screenshot,deletion_toast_visible,chat_occurrences,screenshot_notes,notes_from_insertion
11,postcard,蘇澳城隍爺沿革,2026-07-17,"Suxi Village, Suao Township",翊翊,screenshots/011_2026-07-17_蘇澳城隍爺沿革.jpeg,E906C996-E194-4799-8279-1098CCE62D58.jpeg,9b4ed8e879f7d814e49c1263eb11db17928e5bedb60850735bc88f012fa3728e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
12,postcard,쉼터,2026-06-17,"(36.6768750, 127.3937000)",緑,screenshots/012_2026-06-17_쉼터.jpeg,9803777E-5A23-45B2-9736-3B9DD653F22B.jpeg,c1613c04446822a78466d8ea069893cb769b234434ccaac75ae6fd365033aed2,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,True,,,
13,postcard,騰雲駕霧,2026-07-29,"Kanding Village, Tamsui District",Xuan,screenshots/013_2026-07-29_騰雲駕霧.png,C095A2DE-738C-4696-8611-182C203CBC6F.png,63c3535885983c2040b5a47f65a043810d1a308781bfb405f71f5c24e8b29da7,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
14,postcard,小老虎 貓頭鷹,2026-07-30,"Taoyuan, Beitou District",戰標のタツマキ,screenshots/014_2026-07-30_小老虎-貓頭鷹.png,6EB74C90-0635-4307-892A-63A88930BDB4.png,40e2951904cccf856c52889dcf4b922b12f5446b8608a2f39edc36d46b95bc7c,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
15,postcard,Les Fleurs Du Mal,2026-07-01,Tsim Sha Tsui,花花,screenshots/015_2026-07-01_Les-Fleurs-Du-Mal.png,5E96FEDE-D2FA-4427-AF3A-A66D2D803423.png,b9062a7798c638dfec113af8d54a8ffd2f457487c6579cefdfbfe0ad51030851,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
16,postcard,時代大道,2026-07-19,"Xingbang Village, Qianzhen District",C.C.,screenshots/016_2026-07-19_時代大道.jpeg,62C9D426-7508-4F99-8706-1E0A33707F09.jpeg,28002afb785061117cf265613a17c050844b463b849f9d1154f68cf9228c9e33,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
17,postcard,Roller Park,2026-07-29,"Saint-Laurent-des-Autels, Orée d'Anjou",Yumi,screenshots/017_2026-07-29_Roller-Park.jpeg,06D627FB-D933-4A78-994E-E458A250143E.jpeg,a48eec9a1ed0e8ebc4e52fe14dd70544ed47210343635109b41eaa5ed1a877de,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
18,postcard,守護與力量之鴿,2026-05-23,"Renyong, Shilin District",魚酥,screenshots/018_2026-05-23_守護與力量之鴿.png,B6D890E4-9A31-4585-818C-F65F4DCF000C.png,47b6f11bf57eab3aaaa211bfea9d8badce21e5ba2e45e8bcbc6dbefe515a34fe,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
19,postcard,純精路昭靈宮,2026-07-12,"Qunying Village, Dongshan Township",翊翊,screenshots/019_2026-07-12_純精路昭靈宮.jpeg,66DFF6D1-9DDB-4392-BEDD-CB805AAF8A6C.jpeg,b650b484c989946440d49c4fae395070b6e6195a117f59692aa1d74cdb4c5aa8,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
20,postcard,龍騰,2026-07-29,"Zhongyuan, Zhongshan District",Xuan,screenshots/020_2026-07-29_龍騰.jpeg,416A8286-CC3B-4628-9538-5260C004A85B.jpeg,c0342cfc8b7b9f3757f76918584295a475e59658212fe58a99896a78c1055ae8,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
21,postcard,林安泰古厝石橋,2026-04-22,"Xinzhuang, Zhongshan District",JessieJc,screenshots/021_2026-04-22_林安泰古厝石橋.jpeg,A970314E-585F-4D2D-B5CB-856C935A2711.jpeg,2f8e4540885b0c2051463f150f25cb1e0fccfbbed96c76510fa33e1d543add62,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,True,False,,,
22,postcard,“Wild West (Social) Justice” Mural,2026-07-14,"Downtown, Laramie",Tribble Mountain Time,screenshots/022_2026-07-14_“Wild-West-(Social)-Justice”-Mural.jpeg,11F1CCF6-30F5-44E2-9A44-F61C46F769BA.jpeg,89b097fa225dd2341e3a761b11ed50542303c26dbbe3a542a1ff27ab0e5cfa6c,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
23,postcard,To gather together,2026-07-26,"Chinatown, Victoria",🍎Ching🍎,screenshots/023_2026-07-26_To-gather-together.png,B05A803B-E201-4DA4-B5CB-BF8CFC8B645F.png,4bf643c6d463e0eb3c232be61b521fedf76df7d05a79f3b6c28bc76258351852,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
24,postcard,油麻地警署,2026-03-25,Yau Ma Tei,Sha,screenshots/024_2026-03-25_油麻地警署.png,E876E5C1-4593-47DD-AF5A-54618AC7556C.png,977381ed8536ad917fb2a94c30f95b78e6d61553b502d18433acf3f356bb95b9,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
25,postcard,公園涼亭,2026-08-08,"Daoxiang, Beitou District",,screenshots/025_2026-08-08_公園涼亭.png,FA30CE23-8391-45B8-8065-B0E921775FD7.png,d8c36ecd98f98f522b0e67d55411e1f6e229c64228920abab7e00c6377c08bb8,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
26,postcard,きしべの路（二子玉川けやき緑地）,2026-08-09,"Setagaya, Hanamizuki-dori Street (Kinutasen-Ato)",Ushas,screenshots/026_2026-08-09_きしべの路（二子玉川けやき緑地）.jpeg,805D3A5A-FA19-45E6-8241-6876FED9DE0D.jpeg,fe3434476794550e2580edddcdb0bcc173d3a386698580b3cf0f3dfce9360907,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,True,,,
27,postcard,蜂巢廊亭,2026-08-07,Shenzhen,花花,screenshots/027_2026-08-07_蜂巢廊亭.png,65845620-D212-40FC-A451-53AF5D2E5928.png,03070b9a13568bdf3b2355d7237c0464125c8f549e98ae0f5887d7146098db00,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
28,postcard,Nantes - Façade d’un Immeuble rue Jean Jaurès,2026-08-08,Nantes,Yumi,screenshots/028_2026-08-08_Nantes-Façade-d’un-Immeuble-rue-Jean-Jaurès.png,2B77198D-C544-4FC4-B758-AC17F6D36E79.png,615796a1a39022ff2885ed6c32da2a667488e01c7281740dcd7db2d437dfef5e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
29,postcard,山縣孝亮先生像,2026-08-09,"Chuo, Nihombashi 3-Chōme",V,screenshots/029_2026-08-09_山縣孝亮先生像.png,A315B6C5-6203-4E77-906F-0DCC3CC31111.png,299beb9aef322af7aa192610d62d5ab377c89b2051831707dc45991f016b6f36,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
30,postcard,Gym Equipment,2026-08-09,Albion Park Rail,,screenshots/030_2026-08-09_Gym-Equipment.jpeg,C1B3014F-D9F2-4AC1-A1B1-27650E34CF0F.jpeg,9ade58530afbb3b9c0219065a60f286b66521694aa1e88ec7f640a5d937287c6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
31,postcard,濱田屋,2026-08-09,"Setagaya, Sangenjaya 2-Chōme",,screenshots/031_2026-08-09_濱田屋.png,84C381A2-C0D8-4515-A58E-EF9C58F24E17.png,62ec7c9419053c6aa8613c43ca5d3cdf13fcfc22fed057557d898bdbb2a09f0f,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
32,postcard,世田谷コーポの小さな祠,2026-08-09,"Setagaya, Taishido 2-Chōme",,screenshots/032_2026-08-09_世田谷コーポの小さな祠.jpeg,3558FC48-2CF0-4F7E-A3BD-4C8D0BB92153.jpeg,653fc464614551e86e80af61c68933647d6acb6d0be2d9870101c18c2a83f35b,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
33,postcard,新大久保ガード下の壁画,2026-08-08,"Shinjuku, Hyakunincho 2-Chōme",Ushas,screenshots/033_2026-08-08_新大久保ガード下の壁画.png,5C53A730-157D-4275-BDB4-B502BCB961FD.png,4d26c9b1008ec95efde2c4f4475c825cad8aaafb54c06052b0dd262b7af631b4,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
34,postcard,遠企中心辦公大樓,2026-08-08,"Quanan, Daan District",V,screenshots/034_2026-08-08_遠企中心辦公大樓.png,B92311FC-1177-458F-9C5B-151D9F7FB2C5.png,91a0f381681e6aea6ad6cc743de0ebe3d63b35f000db403eb72265e6fca25b12,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
35,postcard,火車輪椅椅,2026-08-05,"Liming, Zhongzheng District",Xuan,screenshots/035_2026-08-05_火車輪椅椅.jpeg,B7286AE4-8335-4E01-8F30-7687E55E4831.jpeg,df4ee6e56024c340a18e826e1d5b8c9b28ae346f75df848b8dee448833f62644,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
36,postcard,都市百合,2026-08-07,"Baxian, Beitou District",,screenshots/036_2026-08-07_都市百合.png,94E17FA8-65C7-4D76-B293-C9ECE2241D50.png,37d52a78147149966359d9fbad5b622b3ac6f962320c04cc1b205cda9e198db6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
37,postcard,Lumina General Trias Water Tank,2026-08-09,"San Francisco, General Trias",,screenshots/037_2026-08-09_Lumina-General-Trias-Water-Tank.png,D9474674-09E9-4AFF-B9A2-8AF6F11A4CAA.png,932520137d8b44d9f545413b02e2d1a18c80ba5c2481f83a61d682ad2e8cdb02,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
38,postcard,Rydsvägen Outdoor Gym,2026-08-05,"Ryd, Linköping",Subway北投店老闆,screenshots/038_2026-08-05_Rydsvägen-Outdoor-Gym.jpeg,04766069-A280-4DEF-B56E-980E9BB8CF6C.jpeg,af03795fd21fa661aeed6b74dcae3f015a9bb808b9f2fb24c6b1c48ee27aeed4,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
39,postcard,Post Owl,2026-08-08,"Meguro, Megurohoncho 5-Chōme",,screenshots/039_2026-08-08_Post-Owl.png,8FA5C082-18E4-470B-B7AC-986375023FEB.png,24cf139d9ce6692efdc615b556aa281ac8a3c45cdcdbab031cdda04dc707bf15,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
40,postcard,米ノ裏 恵比寿神社,2026-08-15,"Echizen, Komeno",V,screenshots/040_2026-08-15_米ノ裏-恵比寿神社.png,2026-08-16 11.30.06.png,363dc8f3f68d4627cf3d2100c15904a75451a5a66316ecad95f29df2fe59c4f6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
41,postcard,Welcome to Morton NP,2026-08-15,Bundanoon,,screenshots/041_2026-08-15_Welcome-to-Morton-NP.png,2026-08-16 11.31.10.png,5cffa1d0a98836203cd06cf9afd0e3831a37d20e2ee39f35a1089ec6f50cb2e6,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
42,postcard,Pokemon Mural,2026-08-15,"Narita, Sanrizuka Goryo",,screenshots/042_2026-08-15_Pokemon-Mural.png,2026-08-16 11.31.05.png,1240c656ddf1ca220ed4e1a7d1f06832e5b4d43444ec065f561b3808d57f8e4e,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
43,postcard,Corbett Gardens,2026-08-12,Bowral,Catlover:3,screenshots/043_2026-08-12_Corbett-Gardens.png,2026-08-16 11.30.34.png,268e151de5c1a006168e9a8370cd747f083157774f9bd1f86bdd7fe00ac9e853,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
44,postcard,烈日下的觀塘壁畫,2026-05-21,Kwun Tong,花花,screenshots/044_2026-05-21_烈日下的觀塘壁畫.png,2026-08-16 11.30.29.png,0730db0fc5344fd31b2a27666106dccb4b77157f518a422a8bdbcccbf862c126,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
45,postcard,拾貝美術館,2026-08-12,"Aiguo, Zhongzheng District",JessieJc,screenshots/045_2026-08-12_拾貝美術館.png,2026-08-16 11.30.24.png,8f76fb1ab273cd1e4f5d4dcf4886c0cda1e9e6ea0c9cb57709efbe7e7b50030d,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
46,postcard,One Grantai Fontain,2026-07-31,"Our Lady of Carmel, Taipa",梨梨五,screenshots/046_2026-07-31_One-Grantai-Fontain.png,2026-08-16 11.30.19.png,95395660eaf8477d69b4a8078662e3b2c9f25ba312464fe72beea944388737d4,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
47,postcard,天空の街公園,2026-08-14,"Higashiosaka, Kamiishikiricho 2-Chōme",月と海,screenshots/047_2026-08-14_天空の街公園.png,2026-08-16 11.30.14.png,de5a440acdc8fa6adb9857bb46e010a2979dcc97f3eea875d9b768b36edde4da,,,,not_recovered,prior_research_not_recovered_from_compacted_context,"The original postcard screenshot and its visible metadata are preserved. This session did contain postcard-by-postcard discussion, but the full prior assistant research text for this item was not available in the compacted conversation context used during export. No replacement web research was invented or silently substituted.",,,Recover/merge the original per-postcard research from the source-session transcript if available.,,False,False,,,
